en;zh;zh-correct
eg. She sat quietly by the bank and watched the ducks swim;她静静地坐在银行旁边，看着鸭子游来游去.;她 静静地坐在河岸边，看着鸭子在水里游来游去
Us.;美;	是我们自己。
I carry the banner of the trauma.;我被驱逐出创伤的禁忌。;我就活在一出灾难戏剧当中
Trafficking doesn't happen in a vacuum.;交通不进。;人口贩卖不是发生在真空中。
So the upshot was this.;截图就是这个;这是结果。
And in summer, here, killer wasps.;在夏季,死亡人数急剧下降。;夏天的时候,这点是对杀人蜂的恐惧.	
It was all about going for the center.;全部都向中心驶去。;所有产品均向着中间这部分的人而去。
We really have two command posts.;我们有两个指挥官;我们实际上是由两方面控制的
It's a pitiful sight.;这是一见钟情。;这是个令人同情的场景。
Nobody wants to buy a mini well when they buy a car.;没有人想买一辆小轿车。;买车的时候, 没有任何人想购入一口小型井。
Humans can dig holes and make a well.;人类可以挖出洞并且把它修得不错。;人可以挖坑凿井,
Humans and legal persons are not synonymous.;人类和法律人员并无作为。;“人类”和“合法的人”不是同义词
It's a mind setting.;这是一个心理层面。;它是一种思想境界。
I was less exotic in this Whitopia.;在白色乌托邦,我则较无奇了;这使得我在乔治亚没有那么的异国情调
And we were particularly touched by the flowers and we were curious as to how the flowers got there.;我们特别受到花朵的触动, 我们很好奇花是怎么摆到那里的。;特别是那些花,它们尤其让我们感动。 我们很好奇,那些花是怎么摆到那里的呢?”
And I got to see my name in lights because kids put my name in lights.; 我看见我的名字被亮着了, 因为孩子们把我的名字放到了灯光里。;我看见自己的名字变得闪闪发亮 是这些孩子给我的荣耀
They allow you to mechanically breathe, or mechanically ventilate.; 它们使你能够机械地呼吸, 或者机动地呼吸。;它们是你能机动地呼吸,或机动地换气
I don't know whether they will decide to have this honor code.;我不知道他们是否会决定 是否写这份荣誉准则。;不知道他们是否决定写这份行为规范。
But on the other hand, we have 14 billion of these: light bulbs, light;但另一方面, 我们有140亿种灯泡,光亮;另一方面, 我们有一百四十亿个 灯泡
And although we know that the land animals I'm going to talk about are just the scum of the Earth on the land -- the little bits of land floating around -- but they are important to us because they're sort of in our scale of experience from millimeters to meters.;虽然我们知道,我要讲的陆地动物 仅仅是地球表面的污垢—— 一小块漂浮在周围的地方—— 但是它们对我们很重要 因为它们是我们经验逐步累积的;虽然只是在漫长的进化历程中昙花一现, 对我们来说,却有着深远的意义。 因为它们是我们经验逐步累积中的一部分。
Antarctica was this planet's last empty quarter -- in our expanding vision of the world.; 南极洲是整个星球上最后的空旷的 -- 在人口增长的世界中。;南极洲是星球上 最后的--- 不断扩张的世界中 唯一的盲点。
Just year after year -- and I finally realized the students were showing the killer app of personal fabrication is products for a market of one person.;年复一年,我最终意识到 学生们展示的是他们的杀手级制造产品 是为了一个人的市场;这门课开了好几年,我最后意识到 学生们展示的是他们制作的最厉害的个性化创作的东西 这些产品的市场就是他们自己
As history points out, regimes become oppressive when they're fearful about keeping control.;历史表明, 当政体害怕统治失控时, 政权会变得压抑。;历史告诉我们,当政体害怕统治失控时, 它就会变得暴虐。
